Messstelle:                ;Timelkam
HZB-Nummer:                ;205393
HD-Nummer:                 ;5490
DBMS-Nummer:               ;4001086
Gewässer:                  ;Vöckla
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;331,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;00441,65
   01.01.1977              ;00441,60
   05.12.1989              ;00441,00
   01.01.2006              ;00441,65
   29.06.2013              ;00442,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;470600,00 - 318500,00
   29.06.2013              ;470204,30 - 318586,40
   01.01.2020              ;470298,62 - 318612,52
Exportzeitreihe:           ;(4001086,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
15.04.2017 13:30:00;   128
29.05.2017 18:00:00;   122
20.06.2017 23:45:00;   116
18.07.2017 12:00:00;   118
19.08.2017 01:00:00;   122
01.09.2017 00:00:00;   124
02.10.2017 21:15:00;   123
05.11.2017 06:00:00;   128
04.12.2017 12:00:00;   129
16.01.2018 12:30:00;   134
28.02.2018 07:30:00;   128
19.03.2018 15:30:00;   129
30.04.2018 23:45:00;   125
21.05.2018 14:45:00;   123
05.06.2018 15:15:00;   122
25.07.2018 16:45:00;   119
20.08.2018 23:30:00;   117
12.09.2018 19:15:00;   117
12.10.2018 16:45:00;   118
07.11.2018 17:30:00;   118
01.12.2018 00:00:00;   122
24.01.2019 22:45:00;   125
05.02.2019 11:30:00;   128
31.03.2019 20:00:00;   130
23.04.2019 20:45:00;   117
20.05.2019 06:00:00;   125
17.06.2019 20:00:00;   120
19.07.2019 14:45:00;   116
11.08.2019 16:45:00;   118
23.09.2019 10:00:00;   114
15.10.2019 18:00:00;   115
04.11.2019 12:30:00;   116
05.12.2019 19:45:00;   121
27.01.2020 13:30:00;   118
22.02.2020 13:30:00;   123
31.03.2020 19:00:00;   120
20.04.2020 18:15:00;   119
22.05.2020 19:15:00;   118
13.06.2020 14:00:00;   117
31.07.2020 20:30:00;   120
26.08.2020 22:45:00;   120
16.09.2020 18:15:00;   123
06.10.2020 12:45:00;   126
21.11.2020 15:45:00;   123
12.12.2020 00:15:00;   120
12.01.2021 12:00:00;   123
15.02.2021 08:45:00;   123
09.03.2021 23:30:00;   125
29.04.2021 10:45:00;   121
11.05.2021 17:30:00;   120
21.06.2021 15:45:00;   112
10.07.2021 22:45:00;   110
16.08.2021 12:30:00;   120
23.09.2021 09:30:00;   117
30.10.2021 16:30:00;   112
25.11.2021 13:30:00;   117
12.12.2021 11:00:00;   122
