Messstelle:                ;Mitterbach (Brücke)
HZB-Nummer:                ;207704
HD-Nummer:                 ;no065
DBMS-Nummer:               ;3001010
Gewässer:                  ;Große Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Energieversorgung Niederösterreich-AG.
orogr.Einzugsgebiet [km²]: ;29,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00791,00
   01.01.1977              ;00785,90
   01.01.2014              ;00785,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;672483,40 - 298038,20
   01.01.1977              ;672413,70 - 297773,50
Exportzeitreihe:           ;(3001010,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
01.11.2014 01:45:00;    78
20.12.2014 09:15:00;    75
11.01.2015 09:15:00;   110
10.02.2015 03:45:00;    73
31.03.2015 23:30:00;    87
18.04.2015 07:45:00;    97
24.05.2015 01:45:00;   102
01.06.2015 14:15:00;    72
15.07.2015 11:45:00;    68
17.08.2015 06:00:00;    66
08.09.2015 12:00:00;    71
27.10.2015 16:45:00;    77
30.11.2015 23:59:55;    73
02.12.2015 13:30:00;   104
30.01.2016 03:15:00;    79
02.02.2016 00:15:00;   110
31.03.2016 23:30:00;    76
04.04.2016 07:00:00;    81
04.05.2016 21:15:00;    92
21.06.2016 00:45:00;    84
14.07.2016 16:00:00;    93
10.08.2016 23:45:00;    87
06.09.2016 20:30:00;    91
04.10.2016 22:45:00;    91
18.11.2016 04:00:00;    79
27.12.2016 12:45:00;    80
05.01.2017 05:30:00;    72
23.02.2017 16:45:00;    97
19.03.2017 12:15:00;   112
27.04.2017 07:45:00;    94
09.05.2017 08:15:00;    97
02.06.2017 14:45:00;    79
27.07.2017 16:00:00;    93
31.08.2017 20:30:00;    82
20.09.2017 14:30:00;   110
09.10.2017 16:15:00;    99
